,red_id,sede_id,tipo_red,url
147,148,EEEUU,instagram,https://www.instagram.com/ARGinUSA/
148,149,EEEUU,youtube,https://www.youtube.com/ARGinUSA
149,150,EESPA,twitter,https://twitter.com/ARGenesp
150,151,EESPA,facebook,https://www.facebook.com/argenespa/
151,152,EESPA,instagram,https://www.instagram.com/argenespa/
152,153,EESPA,linkedin,https://www.linkedin.com/company/83543239/admin/dashboard/
153,154,EETIO,facebook,https://www.facebook.com/ArgEnEtiopia/
154,155,EETIO,instagram,https://www.instagram.com/embaargenetiopia/
155,156,EFILI,facebook,https://www.facebook.com/ArgentinaEnFilipinas
156,157,EFILI,instagram,https://www.instagram.com/argentinaenfilipinas/
157,158,EFILI,twitter,https://twitter.com/ArgentinaEnFili
158,159,EFINL,facebook,https://www.facebook.com/ArgentinaEnFinlandia/
159,160,EFRAN,facebook,https://www.facebook.com/ArgentinaEnFrancia/
160,161,EFRUS,facebook,https://www.facebook.com/EMBAJADAARGENTINAENMOSCU
161,162,EFRUS,twitter,https://twitter.com/EmbArgRusia
162,163,EGREC,facebook,https://www.facebook.com/ArgentinaEnGrecia
163,164,EGREC,youtube,https://www.youtube.com/channel/UCFaKsErEs33zEdzJbnrzOog/featured
164,165,EGUAT,twitter,https://x.com/ARGenGuatemala
165,166,EGUAT,facebook,https://www.facebook.com/emba.arge.7
166,167,EGUAT,instagram,https://www.instagram.com/argenguatemala/
167,168,EHILE,twitter,https://twitter.com/EmbArgEnChile
168,169,EHILE,facebook,https://www.facebook.com/EmbArgentinaEnChile
169,170,EHILE,instagram,https://www.instagram.com/embargenchile/
170,171,EINDI,twitter,https://twitter.com/ArgentinaEnInd
171,172,EINDI,facebook,https://www.facebook.com/ArgentinaEnInd
172,173,EINDI,instagram,https://www.instagram.com/argentinaenind/
173,174,EIRLA,facebook,https://www.facebook.com/ArgentinaEnIrlanda/
174,175,EIRLA,instagram,https://www.instagram.com/embajadaargentinairlanda
175,176,EISRA,facebook,https://www.facebook.com/ArgEnIsrael
176,177,EISRA,twitter,https://twitter.com/argenisrael
177,178,EITAL,facebook,https://es-la.facebook.com/emb.roma/
